registration_surveyid,genotype,yield_ranked,country_name,crop,year,AeZ,longitude,latitude,zone
15e75b8e-e060-4ed5-af6a-2e0a61c676c0,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326586,4
15e75b8e-e060-4ed5-af6a-2e0a61c676c0,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326586,4
87ee3edd-c049-4ec2-9d67-067f9b2bb9e6,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326629,4
87ee3edd-c049-4ec2-9d67-067f9b2bb9e6,wh 509,2,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326629,4
87ee3edd-c049-4ec2-9d67-067f9b2bb9e6,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326629,4
2480c8a3-1f1f-47a8-b2f6-229f22668bf6,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.84725,-2.326573,4
2480c8a3-1f1f-47a8-b2f6-229f22668bf6,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.84725,-2.326573,4
2480c8a3-1f1f-47a8-b2f6-229f22668bf6,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.84725,-2.326573,4
f5f5abc2-7f8f-43d6-90f7-c9910d729bd1,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32664,4
f5f5abc2-7f8f-43d6-90f7-c9910d729bd1,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32664,4
f5f5abc2-7f8f-43d6-90f7-c9910d729bd1,wh 507,2,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32664,4
6de290df-5796-4088-b9e1-2a3d505d589a,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326617,4
6de290df-5796-4088-b9e1-2a3d505d589a,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326617,4
6de290df-5796-4088-b9e1-2a3d505d589a,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326617,4
46e82e85-55f4-493f-864f-5e99a20ff299,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326621,4
46e82e85-55f4-493f-864f-5e99a20ff299,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326621,4
46e82e85-55f4-493f-864f-5e99a20ff299,rhm 1409,1,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326621,4
b7c563e5-5cb3-4b1c-a630-9519b9354acf,wh 507,1,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326636,4
b7c563e5-5cb3-4b1c-a630-9519b9354acf,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326636,4
b7c563e5-5cb3-4b1c-a630-9519b9354acf,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326636,4
a08948d9-1dec-4f54-8f18-bc1a443efcd7,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326601,4
a08948d9-1dec-4f54-8f18-bc1a443efcd7,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326601,4
a08948d9-1dec-4f54-8f18-bc1a443efcd7,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326601,4
78b9408b-f562-4974-a757-b24b9b378bff,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.8473,-2.32654,4
78b9408b-f562-4974-a757-b24b9b378bff,wh 507,3,Rwanda,maize,2022,Tropic - cool / humid,29.8473,-2.32654,4
78b9408b-f562-4974-a757-b24b9b378bff,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.8473,-2.32654,4
7d77730a-e73c-46fc-b9a9-db5982ecf837,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326613,4
7d77730a-e73c-46fc-b9a9-db5982ecf837,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326613,4
7d77730a-e73c-46fc-b9a9-db5982ecf837,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326613,4
bcec0a8b-99fd-453d-99f3-a88f964b36e7,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326598,4
bcec0a8b-99fd-453d-99f3-a88f964b36e7,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326598,4
bcec0a8b-99fd-453d-99f3-a88f964b36e7,ckdhh 170121,3,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326598,4
b9ec4616-6272-4b6d-a694-b4f476c029be,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.86634,-2.320074,4
b9ec4616-6272-4b6d-a694-b4f476c029be,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.86634,-2.320074,4
b9ec4616-6272-4b6d-a694-b4f476c029be,wh 507,1,Rwanda,maize,2022,Tropic - cool / humid,29.86634,-2.320074,4
