genotype,estimate,SE,quasiSE,quasiVar,environment,ref_gen
TMS-13F1307P0016,-0.568999675,0.830715197,0.496549986,0.246561889,Osun-2019,IITA-TMS-IBA000070
TMS-13F1343P0002,0.173588188,0.934847816,0.623742741,0.389055007,Osun-2019,IITA-TMS-IBA000070
TMS-13F1343P0022,0.195039254,0.916435924,0.675969136,0.456934272,Osun-2019,IITA-TMS-IBA000070
TMS-13F1343P0044,0.096472987,0.897290203,0.552619335,0.305388129,Osun-2019,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.525978013,0.962437872,0.721442648,0.520479494,Osun-2019,IITA-TMS-IBA000070
TMS-14F1035P0004,-1.311030333,0.937696361,0.600135607,0.360162747,Osun-2019,IITA-TMS-IBA000070
TMS-14F1195P0005,-0.170373791,0.926093573,0.578783951,0.334990862,Osun-2019,IITA-TMS-IBA000070
TMS-14F1223P0007,0.937182631,0.977915176,0.672418296,0.452146364,Osun-2019,IITA-TMS-IBA000070
TMS-14F1287P0008,-1.913577671,0.981949696,0.684273461,0.468230169,Osun-2019,IITA-TMS-IBA000070
TMS-14F1291P0003,-0.032901219,0.929785549,0.58025021,0.336690306,Osun-2019,IITA-TMS-IBA000070
TMS-14F1291P0012,-0.776114603,0.965993284,0.629586523,0.39637919,Osun-2019,IITA-TMS-IBA000070
TMS-14F1301P0004,0.262012894,0.939777835,0.612783627,0.375503774,Osun-2019,IITA-TMS-IBA000070
TMS-14F1301P0013,0.49324083,0.954929349,0.636056513,0.404567888,Osun-2019,IITA-TMS-IBA000070
TMS-14F1306P0015,0.258467373,0.977721979,0.665135536,0.442405281,Osun-2019,IITA-TMS-IBA000070
TMS-14F1310P0004,-1.170233886,0.967765371,0.652730905,0.426057634,Osun-2019,IITA-TMS-IBA000070
TMS-14F1310P0015,-0.219577919,0.993244191,0.702550306,0.493576933,Osun-2019,IITA-TMS-IBA000070
TMS-IBA961632,0.424342766,0.85338971,0.591330307,0.349671532,Osun-2019,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.494539274,0.244569093,Osun-2021,IITA-TMS-IBA000070
IITA-TMS-IBA30572,-0.558408477,0.708816477,0.499640006,0.249640135,Osun-2021,IITA-TMS-IBA000070
IITA-TMS-IBA980581,-0.347345811,0.816922809,0.661057901,0.436997549,Osun-2021,IITA-TMS-IBA000070
K195,0.427447412,0.727710866,0.562846969,0.31679671,Osun-2021,IITA-TMS-IBA000070
TMEB2,-0.550474223,0.682527192,0.479131083,0.229566595,Osun-2021,IITA-TMS-IBA000070
TMEB419,0.547081474,0.704012657,0.475880428,0.226462182,Osun-2021,IITA-TMS-IBA000070
TMEB693,-0.491324272,0.715758456,0.500194027,0.250194065,Osun-2021,IITA-TMS-IBA000070
TMEB7,-0.982425446,0.744319042,0.542204751,0.293985992,Osun-2021,IITA-TMS-IBA000070
TMS-13F1049P0001,-1.11931627,0.693347057,0.517086619,0.267378571,Osun-2021,IITA-TMS-IBA000070
TMS-13F1053P0010,1.315933084,0.795933056,0.602240813,0.362693997,Osun-2021,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.303241275,0.733743651,0.515418265,0.265655988,Osun-2021,IITA-TMS-IBA000070
TMS-13F1153P0001,0.133883212,0.745002134,0.532580359,0.283641839,Osun-2021,IITA-TMS-IBA000070
TMS-13F1160P0004,-1.26514357,0.701982077,0.513575972,0.263760279,Osun-2021,IITA-TMS-IBA000070
TMS-13F1307P0016,-0.567096886,0.692468868,0.49439635,0.244427751,Osun-2021,IITA-TMS-IBA000070
TMS-13F1343P0022,-1.003855131,0.749211079,0.581368661,0.33798952,Osun-2021,IITA-TMS-IBA000070
TMS-13F1343P0044,-0.219642317,0.708866391,0.521522406,0.27198562,Osun-2021,IITA-TMS-IBA000070
TMS-13F2110P0008,0.302939007,0.691585522,0.525946662,0.276619891,Osun-2021,IITA-TMS-IBA000070
TMS-14F1035P0004,-0.376289619,0.703268095,0.475696795,0.226287441,Osun-2021,IITA-TMS-IBA000070
TMS-14F1195P0005,0.094219674,0.735428264,0.523863183,0.274432635,Osun-2021,IITA-TMS-IBA000070
TMS-14F1223P0007,0.677557317,0.719408488,0.537302035,0.288693477,Osun-2021,IITA-TMS-IBA000070
TMS-14F1287P0008,-0.738402247,0.7391444,0.517938864,0.268260667,Osun-2021,IITA-TMS-IBA000070
TMS-14F1291P0003,-0.434902933,0.692733817,0.48928617,0.239400956,Osun-2021,IITA-TMS-IBA000070
TMS-14F1301P0013,-0.411584658,0.697209131,0.466535379,0.21765526,Osun-2021,IITA-TMS-IBA000070
TMS-14F1306P0015,0.30175225,0.729886817,0.514720191,0.264936875,Osun-2021,IITA-TMS-IBA000070
TMS-14F1310P0004,0.564941283,0.73796219,0.562448212,0.316347991,Osun-2021,IITA-TMS-IBA000070
TMS-14F1310P0015,0.444970646,0.688729341,0.522866031,0.273388886,Osun-2021,IITA-TMS-IBA000070
TMS-IBA961632,0.477619242,0.703961705,0.516867737,0.267152257,Osun-2021,IITA-TMS-IBA000070
